strokes,log_freq,mean_log_rt,se,lower,upper,rt_ms,rt_lower,rt_upper,penalty_band
3.2914572864321605,0.6051108419195039,6.441781885749298,0.005970972110536782,6.430078780412646,6.45348499108595,627.5239802096535,620.2228074968094,634.9111012661225,FALSE
3.4120603015075375,0.6051108419195039,6.44388699802055,0.005756785903365409,6.432603697649953,6.455170298391146,628.8463800526152,621.7907974438303,635.9820237465015,FALSE
3.5326633165829144,0.6051108419195039,6.445987955982676,0.00554875727296213,6.43511239172767,6.456863520237682,630.1689487058247,623.3526386066678,637.0597945981912,FALSE
3.6532663316582914,0.6051108419195039,6.448084480102206,0.005347146695938341,6.437604072578167,6.4585648876262445,631.4914990010323,624.9077710817116,638.144589913296,FALSE
3.7738693467336684,0.6051108419195039,6.450176290845667,0.00515220259459141,6.440077973760268,6.460274607931066,632.8138422667934,626.4556450094245,639.2365719019701,FALSE
3.8944723618090453,0.6051108419195039,6.452263108679586,0.004964158099199396,6.4425333588051545,6.461992858554017,634.1357883289604,627.9957248021603,640.3358847168521,FALSE
4.015075376884422,0.6051108419195039,6.454344654071742,0.0047832273240629416,6.444969528516579,6.4637197796269055,635.4571455125352,629.5274940331527,641.4426496226611,FALSE
4.135678391959798,0.6051108419195039,6.456420648395863,0.004609597315320599,6.447385837657834,6.465455459133891,636.7777212193976,631.0504663165858,642.5569552434882,FALSE
4.256281407035176,0.6051108419195039,6.458490815528595,0.004443420455951952,6.449781711434929,6.467199919622261,638.0973229555206,632.5641962096415,643.6788487283591,FALSE
4.376884422110553,0.6051108419195039,6.460554879775192,0.004284823982156229,6.452156624770166,6.468953134780219,639.4157570239097,634.0682666661653,644.8083460794277,FALSE
4.49748743718593,0.6051108419195039,6.462612565440913,0.00413390776204138,6.454510106227311,6.470715024654514,640.732828256157,635.5622919651458,645.945428788352,FALSE
4.618090452261306,0.6051108419195039,6.4646635968310076,0.003990739436781086,6.4568417475349165,6.472485446127099,642.0483400163648,637.045924235638,647.0900373664279,FALSE
4.738693467336683,0.6051108419195039,6.466707698250735,0.0038553494064853503,6.459151213414024,6.474264183087446,643.3620942056839,638.518860254148,648.2420646055369,FALSE
4.85929648241206,0.6051108419195039,6.468744594005348,0.0037277258554652,6.461438251328636,6.47605093668206,644.6738912674357,639.9808482705075,649.401348813847,FALSE
4.9798994974874375,0.6051108419195039,6.470774008400104,0.0036078100628047644,6.463702700677007,6.477845316123202,645.9835301928595,641.431694549336,650.5676673392578,FALSE
5.100502512562814,0.6051108419195039,6.472795669727818,0.0034954923738787446,6.465944504675015,6.47964683478062,647.2908111085756,642.8712717086365,651.7407334628745,FALSE
5.221105527638191,0.6051108419195039,6.4748093327906195,0.0033906136299808845,6.468163730075857,6.481454935505382,648.5955499170931,644.2995321940809,652.9202123423815,FALSE
5.341708542713568,0.6051108419195039,6.476814763204906,0.003292972641036712,6.470360536828474,6.483268989581338,649.8975682767104,645.7164895780388,654.105719877138,FALSE
5.4623115577889445,0.6051108419195039,6.478811726618975,0.003202327040460958,6.4725351656196715,6.485088287618279,651.1966866576649,647.1222111545602,655.2968162804078,FALSE
5.582914572864321,0.6051108419195039,6.480799988681124,0.0031183933497877982,6.47468793771554,6.4869120396467075,652.4927243290535,648.5168183905213,656.4930056231414,FALSE
5.703517587939698,0.6051108419195039,6.482779315039651,0.003040848266783724,6.476819252436755,6.488739377642547,653.785499366857,649.9004858241216,657.6937369732091,FALSE
5.824120603015075,0.6051108419195039,6.4847494713428535,0.0029693312459190863,6.478929582100852,6.490569360584855,655.0748286624503,651.2734382796784,658.898407219947,FALSE
5.944723618090452,0.6051108419195039,6.4867102232390295,0.0029034483632528318,6.481019464447054,6.492400982031005,656.3605279316163,652.6359463857999,660.106365596971,FALSE
6.065326633165829,0.6051108419195039,6.488661338243017,0.002842778185666751,6.4830894929991105,6.494233183486924,657.6424129515749,653.988320672698,661.316922094118,FALSE
6.185929648241205,0.6051108419195039,6.4906026194375634,0.0027868945439260234,6.485140306131468,6.496064932743659,658.9203217894471,655.3309047330961,662.529399012458,FALSE
6.306532663316583,0.6051108419195039,6.492533901808217,0.0027353796391777906,6.487172557715429,6.497895245901006,660.1941126195509,656.6640561930099,663.7431457180401,FALSE
6.427135678391959,0.6051108419195039,6.4944550214713255,0.0026878193124652114,6.489186895618894,6.499723147323757,661.4636435807639,657.9881326121921,664.9575122915105,FALSE
6.547738693467337,0.6051108419195039,6.496365814543234,0.00264380745223496,6.491183951936853,6.501547677149614,662.7287720426582,659.3034849487536,666.171854570598,FALSE
6.668341708542713,0.6051108419195039,6.498266117140286,0.002602950630269543,6.493164333904958,6.503367900375614,663.9893546141333,660.6104514011017,667.3855403071783,FALSE
6.788944723618091,0.6051108419195039,6.50015576537883,0.002564872426086812,6.4951286154237,6.50518291533396,665.2452471523445,661.9093515870516,668.5979549883749,FALSE
6.909547738693467,0.6051108419195039,6.502034595375212,0.0025292173609525663,6.4970773293477455,6.506991861402679,666.4963047719169,663.2004811694557,669.8085072123419,FALSE
7.030150753768844,0.6051108419195039,6.503902443480745,0.002495654511226145,6.499010960638741,6.508793926322748,667.7423820113529,664.484107001637,671.016633860736,FALSE
7.150753768844221,0.6051108419195039,6.505759174477744,0.002463894692790914,6.500929940879874,6.510588408075614,668.9833517069783,665.7604631329378,672.2218420046655,FALSE
7.271356783919598,0.6051108419195039,6.507604708365763,0.002433708444625467,6.5028346398142975,6.512374776917229,670.2191231313425,667.0297447936287,673.4237513649725,FALSE
7.391959798994975,0.6051108419195039,6.509438971488464,0.0024049042397660306,6.504725359178523,6.514152583798405,671.4496095259399,668.2921038559274,674.6220335856785,FALSE
7.5125628140703515,0.6051108419195039,6.511261890189508,0.002377324543791605,6.506602334083676,6.51592144629534,672.6747238786277,669.5476493092202,675.8164032269075,FALSE
7.633165829145728,0.6051108419195039,6.513073390812556,0.0023508445499675823,6.508465735494619,6.517681046130493,673.8943789294564,670.7964484893669,677.0066165010657,FALSE
7.7537688442211055,0.6051108419195039,6.514873399701273,0.0023253706908779774,6.510315673147152,6.519431126255394,675.1084871765914,672.0385286277925,678.192469691413,FALSE
7.874371859296482,0.6051108419195039,6.516661843199317,0.0023008389847091267,6.512152198789287,6.5211714876093465,676.3169608823159,673.2738786468954,679.37379732651425,FALSE
7.994974874371859,0.6051108419195039,6.518438647650351,0.002277213263041725,6.513975309654789,6.5229019856459125,677.5197120791344,674.5024511421608,680.550470170264,FALSE
8.115577889447236,0.6051108419195039,6.520203754068401,0.002254488522889955,6.515784956563537,6.524622551573265,678.7166625329766,675.7241675220395,681.7224100318679,FALSE
8.236180904522612,0.6051108419195039,6.521957169970669,0.002232706951519112,6.517581064345691,6.526333275595647,679.9077790783715,676.9389315549126,682.8896470608506,FALSE
8.35678391959799,0.6051108419195039,6.523698921709377,0.002211937342433207,6.519363524518208,6.528034318900546,681.0930415515849,678.1466242519485,684.0522604705068,FALSE
8.477386934673365,0.6051108419195039,6.52542903563796,0.0021922644609992264,6.521132197294402,6.529725873981518,682.2724300534835,679.3471050404297,685.210351758815,FALSE
8.597989949748744,0.6051108419195039,6.527147538109849,0.002173785125308793,6.522886919264244,6.531408156955455,683.4459249491698,680.5402168143764,686.3640396097729,FALSE
8.71859296482412,0.6051108419195039,6.528854455478476,0.002156604312515309,6.524627511025947,6.533081399931006,684.6135068684257,681.7257910102862,687.5134547749743,FALSE
