char,rt_ms,correct
一,608.554999998771,1
一,564.985000000801,1
一,958.59499999648,1
一,777.139999998268,1
一,917.014999999199,1
一,529.849999998696,1
一,585.610000001732,1
一,696.49499999918,1
一,682.550000004936,1
一,664.294999995269,1
一,670.89499999932,1
一,618.10000000149,1
一,654.510000000242,1
一,679.120000000112,1
一,525.514999999199,1
一,553.2099999981,1
一,783.800000000745,1
一,586.524999998859,1
一,749.955000000075,1
一,478.194999995991,1
一,550.770000001416,1
一,450.19999999553,1
一,556.449999995995,1
一,768.239999999292,1
一,704.549999994924,1
一,723.309999994002,1
一,584.060000001453,1
一,577.004999998957,1
一,572.49999999837,1
丁,530.099999996251,1
丁,595.304999998771,1
丁,496.520000000019,1
丁,555.865000002086,1
丁,601.609999997774,1
丁,508.770000000368,1
丁,470.749999998603,1
丁,454.689999998547,1
丁,520.375000000116,1
丁,610.939999998547,1
丁,498.655000000261,1
丁,726.899999994086,1
丁,514.610000000335,1
丁,461.220000001136,1
丁,444.97500000216,1
丁,611.295000002428,1
丁,455.270000000382,1
丁,527.17000000109,1
丁,527.100000000559,1
丁,490.235000000801,1
丁,508.320000000996,1
丁,421.354999998584,1
丁,448.30000000447,1
丁,513.02500000014,1
丁,702.754999998258,1
丁,349.70000000298,1
丁,523.629999999423,1
七,579.43499999959,1
七,516.499999999884,1
七,540.120000005234,1
七,489.650000003166,1
七,474.5,1
七,508.5,1
七,564.78000000061,1
七,480.635000000242,1
七,685.259999998379,1
七,393.599999999395,1
七,496.300000000745,1
七,577.344999999739,1
七,579.5,1
七,694.905000000261,1
七,510.104999993928,1
七,413.414999995613,1
七,861.915000001318,1
七,553.829999997048,1
七,646.184999997728,1
七,635.044999999925,1
七,514.255000001751,1
七,475.609999997658,1
七,666.069999999367,1
七,477.60000000149,1
七,571.724999999628,1
七,527.024999999441,1
七,774.545000000391,1
七,694.250000000466,1
七,571.310000006575,1
万,521.400000005146,1
万,840.984999998938,1
万,458,1
万,495.27999999933,1
万,626.935000000056,1
