log10_frequency,strokes,subject,frequency,fit_ms,lower_ms,upper_ms
-1.8297382846050425,9,AA,0.014800000000000004,778.1712418168553,752.1458417822838,805.0971606196414
-1.7970683680338195,9,AA,0.015956279385833647,776.5419557646013,750.5961838646701,803.3845921756431
-1.7643984514625968,9,AA,0.017202895394512138,774.9160091714209,749.0487547074772,801.6765497523194
-1.7317285348913738,9,AA,0.018546905754061253,773.2933236589408,747.5034784465496,799.9729521770383
-1.699058618320151,9,AA,0.019995919591522082,771.6738214623671,745.960280713146,798.2737179532502
-1.666388701748928,9,AA,0.021558140512093982,770.0574254274837,744.4190886270981,796.5787652619563
-1.6337187851777053,9,AA,0.023242413043920957,768.4440568986881,742.8798286471548,794.8880098928984
-1.6010488686064823,9,AA,0.02505827271146939,766.8336075642454,741.3423980816755,793.2013374813213
-1.5683789520352596,9,AA,0.027016000020987606,765.2259473300974,739.8066734609888,791.518610838975
-1.5357090354640366,9,AA,0.029126678663686883,763.620946614126,738.2725332974678,789.8396917238448
-1.5030391188928138,9,AA,0.03140225826616131,762.0184738406068,736.7398555569752,788.1644383625472
-1.4703692023215909,9,AA,0.033855622043309046,760.4183711715259,735.2084933578903,786.4926812450173
-1.437699285750368,9,AA,0.03650065973677209,758.8204676705734,733.678288497179,784.8242358857832
-1.4050293691791451,9,AA,0.0393523462518368,757.2245906938564,732.1490829741018,783.1589140592569
-1.3723594526079221,9,AA,0.04242682643799807,755.630545696834,730.6206989154044,781.4965035040792
-1.3396895360366994,9,AA,0.045741506493173656,754.0381285802887,729.092951109864,779.8367800530116
-1.3070196194654766,9,AA,0.0493151525090542,752.447124544448,727.5656459721429,778.1795063711487
-1.2743497028942536,9,AA,0.05316799671550432,750.8573029262271,726.0385765650644,776.5244266013513
-1.2416797863230307,9,AA,0.057321852025518406,749.2684239783011,724.5115294398333,774.8712730699874
-1.209009869751808,9,AA,0.061800235529228746,747.6802338346616,722.9842797650174,773.2197610835292
-1.1763399531805852,9,AA,0.06662850163612812,746.0924677386583,721.4565946082383,771.5695920953254
-1.1436700366093622,9,AA,0.07183398561929286,744.5048498250903,719.9282327905792,769.9204534104134
-1.1110001200381392,9,AA,0.07744615837428331,742.917092611523,718.3989444427841,768.2720176077814
-1.0783302034669164,9,AA,0.08349679326889081,741.3288986818958,716.8684726828699,766.6239442280958
-1.0456602868956935,9,AA,0.09002014602835241,739.739960880301,715.336553805105,764.9758799719876
-1.0129903703244705,9,AA,0.097053148674455,738.1499631364908,713.8029180563053,763.327459576767
-0.9803204537532477,9,AA,0.10463561861651713,736.558581326633,712.2672904124646,761.67830676562
-0.9476505371820249,9,AA,0.11281048407801912,734.9654842280756,710.7293914112391,760.0280353314621
-0.914980620610802,9,AA,0.12162402713513584,733.3703346416878,709.188938108599,758.3762504345525
-0.8823107040395791,9,AA,0.1311261457431378,731.7727906674999,707.6456451431558,756.7225501019955
-0.8496407874683563,9,AA,0.1413706362341248,730.1725071473893,706.0992259191879,755.0665269457791
-0.8169708708971335,9,AA,0.15241549788545616,728.5691372545987,704.549393887485,753.4077700798929
-0.7843009543259105,9,AA,0.1643232612831943,726.9623342693443,702.995863960646,751.7458672785563
-0.7516310377546875,9,AA,0.17716134233959385,725.351753546375,701.4383540678867,750.0804073822867
-0.7189611211834648,9,AA,0.19100242396891062,723.7370546421488,699.87658681993355,748.4109829164157
-0.6862912046122418,9,AA,0.20592486758239098,722.11790367138,698.3102913510935,746.7371929945879
-0.653621288041019,9,AA,0.2220131567321234,720.4939758505197,696.7392053005963,745.0586464600159
-0.6209513714697961,9,AA,0.2393583754154483,718.8649582500215,695.1630769575538,743.3749652836619
-0.5882814548985733,9,AA,0.2580587237478477,717.2305528284883,693.5816676442563,741.6857882906286
-0.5556115383273503,9,AA,0.2782200739238055,715.5904796326608,691.9947542331666,739.990775086657
-0.5229416217561276,9,AA,0.2999565696132114,713.9444802190526,690.4021318584588,738.2896102350849
-0.4902717051849046,9,AA,0.3233912721868013,712.2923213845036,688.8036169141456,736.5820077663208
-0.45760178861368184,9,AA,0.34865685742924135,710.6337990462787,687.1990501981957,734.8677158405549
-0.42493187204245886,9,AA,0.375896366684307,708.9687423541538,685.5883002930815,733.1465216374885
