quantile,prob,log_freq,strokes,fitted_log_rt,se_log_rt,fitted_rt_ms,lower_rt_ms,upper_rt_ms,freq
10th,0.1,0.03104471658370506,10,6.623562391174211,0.002678122538360751,752.6214592009261,748.6812091853062,756.5824464408746,1.0315316294256784
50th,0.5,0.6051108419195039,10,6.508116912504066,0.002630676775801388,670.5625000718181,667.1138933747576,674.0289341417893,1.831455199645437
90th,0.9,2.1035167801855166,10,6.449829637230259,0.003684986958528744,632.5945130783161,628.0420122962782,637.180013664451,8.194939094902109
